id,project_id,calculation_timestamp,metrics_period_start,metrics_period_end,year_week,lead_time,deployment_frequency,change_failure_rate,mttr,cycle_time,throughput,wip,bug_rate,velocity,code_coverage,data_source,project_phase,git_coverage_pct
DL_2025-W04,DL,2026-04-18 14:09:48,2025-01-20,2025-01-26,2025-W04,10380.74,,,,8606.65,0,7,0.0,9,,jira_only,Phase 1 - Jira only,0.0
DL_2025-W07,DL,2026-04-18 14:09:48,2025-02-10,2025-02-16,2025-W07,8802.21,,,,8161.99,0,2,0.0,8,,jira_only,Phase 1 - Jira only,0.0
DL_2025-W09,DL,2026-04-18 14:09:48,2025-02-24,2025-03-02,2025-W09,8913.58,,,,7258.61,0,53,0.0,126,,jira_only,Phase 1 - Jira only,0.0
DL_2025-W11,DL,2026-04-18 14:09:48,2025-03-10,2025-03-16,2025-W11,8936.16,,,,7666.03,0,8,0.0,13,,jira_only,Phase 1 - Jira only,0.0
DL_2025-W25,DL,2026-04-18 14:09:48,2025-06-16,2025-06-22,2025-W25,6576.39,,,,5777.52,0,1,0.0,2,,jira_only,Phase 1 - Jira only,0.0
DL_2025-W27,DL,2026-04-18 14:09:48,2025-06-30,2025-07-06,2025-W27,6317.94,,,,5493.06,0,1,0.0,2,,jira_only,Phase 1 - Jira only,0.0
DL_2025-W29,DL,2026-04-18 14:09:48,2025-07-14,2025-07-20,2025-W29,5408.28,,,,5199.92,0,1,0.0,14,,jira_only,Phase 1 - Jira only,0.0
DL_2025-W32,DL,2026-04-18 14:09:48,2025-08-04,2025-08-10,2025-W32,5412.21,,,,4859.61,0,3,0.0,8,,jira_only,Phase 1 - Jira only,0.0
DL_2025-W34,DL,2026-04-18 14:09:48,2025-08-18,2025-08-24,2025-W34,4893.99,,,,4564.09,0,7,0.0,35,,jira_only,Phase 1 - Jira only,0.0
DL_2025-W36,DL,2026-04-18 14:09:48,2025-09-01,2025-09-07,2025-W36,4374.35,,,,4269.91,0,0,0.0,12,,jira_only,Phase 1 - Jira only,0.0
DL_2025-W38,DL,2026-04-18 14:09:48,2025-09-15,2025-09-21,2025-W38,4265.66,,,,3960.44,0,1,0.0,5,,jira_only,Phase 1 - Jira only,0.0
DL_2025-W41,DL,2026-04-18 14:09:48,2025-10-06,2025-10-12,2025-W41,3738.57,,,,3648.81,0,0,0.0,18,,jira_only,Phase 1 - Jira only,0.0
DL_2025-W43,DL,2026-04-18 14:09:48,2025-10-20,2025-10-26,2025-W43,3571.93,,,,3331.85,0,2,0.0,12,,jira_only,Phase 1 - Jira only,0.0
DL_2025-W46,DL,2026-04-18 14:09:48,2025-11-10,2025-11-16,2025-W46,3118.21,,,,2945.89,0,2,0.0,21,,jira_only,Phase 1 - Jira only,0.0
DL_2025-W48,DL,2026-04-18 14:09:48,2025-11-24,2025-11-30,2025-W48,2833.09,,,,2523.35,0,3,0.0,22,,jira_only,Phase 1 - Jira only,0.0
DL_2025-W50,DL,2026-04-18 14:09:48,2025-12-08,2025-12-14,2025-W50,2453.14,,,,2367.62,0,0,0.0,20,,jira_only,Phase 1 - Jira only,0.0
DL_2026-W02,DL,2026-04-18 14:09:48,2026-01-05,2026-01-11,2026-W02,1989.83,,,,1849.34,0,2,0.0,17,,jira_only,Phase 1 - Jira only,0.0
DL_2026-W06,DL,2026-04-18 14:09:48,2026-02-02,2026-02-08,2026-W06,1418.56,,,,1319.44,32,0,0.0,11,,jira_only,Phase 1 - Jira only,0.0
DL_2026-W08,DL,2026-04-18 14:09:48,2026-02-16,2026-02-22,2026-W08,1440.38,,,,135.09,14,23,0.0,24,,jira_only,Phase 1 - Jira only,0.0
DO_2020-W19,DO,2026-04-18 14:09:48,2020-05-04,2020-05-10,2020-W19,36264.05,,,,1425.51,0,2,0.0,3,,jira_only,Phase 1 - Jira only,0.0
DO_2020-W20,DO,2026-04-18 14:09:48,2020-05-11,2020-05-17,2020-W20,16203.02,,,,3144.44,0,1,0.0,4,,jira_only,Phase 1 - Jira only,0.0
DO_2020-W21,DO,2026-04-18 14:09:48,2020-05-18,2020-05-24,2020-W21,28002.04,,,,4059.77,0,1,0.0,2,,jira_only,Phase 1 - Jira only,0.0
